test ndcg 1:0.3954, 3:0.4015, 5:0.4063, 7:0.4119, 10:0.4302
test ndcg 1:0.3770, 3:0.3511, 5:0.3614, 7:0.3708, 10:0.3897
test ndcg 1:0.3839, 3:0.3726, 5:0.3741, 7:0.3897, 10:0.4045
test ndcg 1:0.3379, 3:0.3211, 5:0.3331, 7:0.3422, 10:0.3619
test ndcg 1:0.1103, 3:0.1501, 5:0.1740, 7:0.1991, 10:0.2308
test ndcg 1:0.1161, 3:0.1497, 5:0.1760, 7:0.2030, 10:0.2344
test ndcg 1:0.0897, 3:0.1252, 5:0.1541, 7:0.1833, 10:0.2183
test ndcg 1:0.0897, 3:0.1341, 5:0.1656, 7:0.1909, 10:0.2231
test ndcg 1:0.0770, 3:0.1172, 5:0.1452, 7:0.1749, 10:0.2102
test ndcg 1:0.0885, 3:0.1215, 5:0.1417, 7:0.1643, 10:0.1981
test ndcg 1:0.0874, 3:0.1225, 5:0.1414, 7:0.1634, 10:0.1964
test ndcg 1:0.0943, 3:0.1256, 5:0.1420, 7:0.1641, 10:0.1984
test ndcg 1:0.0931, 3:0.1191, 5:0.1394, 7:0.1639, 10:0.1948
test ndcg 1:0.0943, 3:0.1183, 5:0.1441, 7:0.1660, 10:0.1959
test ndcg 1:0.1000, 3:0.1214, 5:0.1467, 7:0.1678, 10:0.1990
test ndcg 1:0.0897, 3:0.1256, 5:0.1471, 7:0.1721, 10:0.2035
test ndcg 1:0.0851, 3:0.1176, 5:0.1413, 7:0.1665, 10:0.1988
test ndcg 1:0.0989, 3:0.1305, 5:0.1496, 7:0.1746, 10:0.2060
test ndcg 1:0.0885, 3:0.1268, 5:0.1459, 7:0.1744, 10:0.2130
test ndcg 1:0.1046, 3:0.1252, 5:0.1491, 7:0.1710, 10:0.2009
test ndcg 1:0.0977, 3:0.1260, 5:0.1512, 7:0.1717, 10:0.2000
test ndcg 1:0.1092, 3:0.1321, 5:0.1566, 7:0.1836, 10:0.2107
test ndcg 1:0.1011, 3:0.1393, 5:0.1599, 7:0.1899, 10:0.2173
test ndcg 1:0.1287, 3:0.1563, 5:0.1821, 7:0.2012, 10:0.2331
test ndcg 1:0.3046, 3:0.2972, 5:0.3126, 7:0.3274, 10:0.3481
test ndcg 1:0.2793, 3:0.2933, 5:0.3055, 7:0.3196, 10:0.3445
test ndcg 1:0.3092, 3:0.2980, 5:0.3095, 7:0.3218, 10:0.3364
test ndcg 1:0.1299, 3:0.1634, 5:0.1882, 7:0.2134, 10:0.2407
test ndcg 1:0.2138, 3:0.2372, 5:0.2567, 7:0.2769, 10:0.3071
test ndcg 1:0.3586, 3:0.3651, 5:0.3763, 7:0.3918, 10:0.4134
test ndcg 1:0.3621, 3:0.3616, 5:0.3659, 7:0.3750, 10:0.4016
test ndcg 1:0.3402, 3:0.3348, 5:0.3575, 7:0.3675, 10:0.3824
test ndcg 1:0.2701, 3:0.2707, 5:0.2787, 7:0.2871, 10:0.3063
test ndcg 1:0.3069, 3:0.3111, 5:0.3132, 7:0.3271, 10:0.3462
test ndcg 1:0.0931, 3:0.1194, 5:0.1385, 7:0.1599, 10:0.1843
test ndcg 1:0.0931, 3:0.1278, 5:0.1405, 7:0.1620, 10:0.1892
test ndcg 1:0.1011, 3:0.1390, 5:0.1517, 7:0.1725, 10:0.2020
test ndcg 1:0.1080, 3:0.1373, 5:0.1514, 7:0.1790, 10:0.2039
test ndcg 1:0.1149, 3:0.1445, 5:0.1606, 7:0.1771, 10:0.2047
test ndcg 1:0.2586, 3:0.2871, 5:0.3005, 7:0.3178, 10:0.3367
test ndcg 1:0.2701, 3:0.2863, 5:0.3000, 7:0.3153, 10:0.3325
test ndcg 1:0.2253, 3:0.2361, 5:0.2564, 7:0.2718, 10:0.2886
test ndcg 1:0.1356, 3:0.1469, 5:0.1644, 7:0.1850, 10:0.2120
test ndcg 1:0.1080, 3:0.1422, 5:0.1555, 7:0.1739, 10:0.1988
test ndcg 1:0.1184, 3:0.1437, 5:0.1613, 7:0.1835, 10:0.2141
test ndcg 1:0.1057, 3:0.1377, 5:0.1553, 7:0.1780, 10:0.2047
test ndcg 1:0.1103, 3:0.1401, 5:0.1603, 7:0.1817, 10:0.2102
test ndcg 1:0.1103, 3:0.1316, 5:0.1518, 7:0.1694, 10:0.1920
test ndcg 1:0.1230, 3:0.1587, 5:0.1788, 7:0.1899, 10:0.2153
test ndcg 1:0.2954, 3:0.3202, 5:0.3401, 7:0.3543, 10:0.3796
test ndcg 1:0.1046, 3:0.1269, 5:0.1527, 7:0.1755, 10:0.2091
test ndcg 1:0.1080, 3:0.1246, 5:0.1444, 7:0.1673, 10:0.1990
test ndcg 1:0.0954, 3:0.1197, 5:0.1370, 7:0.1571, 10:0.1824
test ndcg 1:0.0977, 3:0.1293, 5:0.1425, 7:0.1628, 10:0.1932
test ndcg 1:0.0966, 3:0.1216, 5:0.1417, 7:0.1569, 10:0.1886
test ndcg 1:0.0908, 3:0.1337, 5:0.1565, 7:0.1759, 10:0.2044
test ndcg 1:0.0874, 3:0.1252, 5:0.1491, 7:0.1670, 10:0.1945
test ndcg 1:0.1287, 3:0.1631, 5:0.1894, 7:0.2085, 10:0.2397
test ndcg 1:0.0805, 3:0.1273, 5:0.1550, 7:0.1758, 10:0.2013
test ndcg 1:0.0943, 3:0.1297, 5:0.1537, 7:0.1718, 10:0.1967
test ndcg 1:0.1034, 3:0.1550, 5:0.1751, 7:0.1940, 10:0.2199
test ndcg 1:0.1034, 3:0.1479, 5:0.1671, 7:0.1827, 10:0.2063
test ndcg 1:0.1000, 3:0.1479, 5:0.1639, 7:0.1779, 10:0.2026
test ndcg 1:0.0977, 3:0.1300, 5:0.1497, 7:0.1675, 10:0.1940
test ndcg 1:0.1011, 3:0.1245, 5:0.1465, 7:0.1641, 10:0.1901
test ndcg 1:0.0977, 3:0.1291, 5:0.1480, 7:0.1633, 10:0.1954
test ndcg 1:0.0943, 3:0.1190, 5:0.1408, 7:0.1646, 10:0.1875
test ndcg 1:0.0954, 3:0.1318, 5:0.1491, 7:0.1695, 10:0.1976
test ndcg 1:0.0954, 3:0.1296, 5:0.1438, 7:0.1602, 10:0.1894
test ndcg 1:0.1023, 3:0.1260, 5:0.1445, 7:0.1648, 10:0.1919
test ndcg 1:0.1092, 3:0.1295, 5:0.1486, 7:0.1657, 10:0.1920
test ndcg 1:0.1080, 3:0.1332, 5:0.1555, 7:0.1713, 10:0.1980
test ndcg 1:0.1023, 3:0.1249, 5:0.1455, 7:0.1638, 10:0.1896
test ndcg 1:0.1023, 3:0.1320, 5:0.1467, 7:0.1666, 10:0.1921
test ndcg 1:0.1057, 3:0.1385, 5:0.1539, 7:0.1749, 10:0.2053
test ndcg 1:0.1092, 3:0.1366, 5:0.1501, 7:0.1684, 10:0.1955
